DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Ábelová;Ábelová;Luèenec;985 13;Ábelová;Ábelová;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Abovce;Abovce;Rimavská Sobota;980 44;Lenartovce;Lenartovce;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Abrahám;Abrahám;Galanta;925 45;Abrahám;Abrahám;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Abrahámovce;Abrahámovce;Bardejov;086 41;Raslavice;Raslavice;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Abrahámovce;Abrahámovce;Kemarok;059 72;Vrbov;Vrbov;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Abrahámovce - Pikovce;Pikovce;Kemarok;059 72;Vrbov;Vrbov;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Abramová;Abramová;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Abranovce;Abranovce;Prešov;082 52;Kokošovce;Kokošovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Adamovské Kochanovce;Adamovské Kochanovce;Trenèín;913 05;Melèice-Lieskové;Melèice-Lieskové;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Adidovce;Adidovce;Humenné;067 32;Vyšnı Hrušov;Vyšnı Hrušov;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Alekšince;Alekšince;Nitra;951 22;Alekšince;Alekšince;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Andovce;Andovce;Nové Zámky;941 23;Andovce;Andovce;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Andrejová;Andrejová;Bardejov;086 37;Šarišské Èierne;Šarišské Èierne;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Ardanovce;Ardanovce;Topo¾èany;956 06;Šalgovce;Šalgovce;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Ardovo;Ardovo;Roòava;049 55;Dlhá Ves;Dlhá Ves;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Arnutovce;Arnutovce;Spišská Nová Ves;053 13;Letanovce;Letanovce;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Báb;Báb;Nitra;951 34;Báb;Báb;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Babie;Babie;Vranov nad Top¾ou;094 31;Hanušovce nad Top¾ou;Hanušovce nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Babín;Babín;Námestovo;029 52;Hruštín;Hruštín;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Babiná;Babiná;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Babindol;Babindol;Nitra;951 53;Klasov;Klasov;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Babinec;Babinec;Rimavská Sobota;980 26;Lukovištia;Lukovištia;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Bacúch;Bacúch;Brezno;976 64;Beòuš;Beòuš;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Bacúrov;Bacúrov;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Báè;Báè;Dunajská Streda;930 30;Rohovce;Rohovce;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Baèka;Baèka;Trebišov;076 84;Leles;Leles;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Baèkov;Baèkov;Trebišov;076 61;Baèkov;Baèkov;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Baèkovík;Baèkovík;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Baïan;Baïan;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;;;;;;;;;;;;;;;;;;;;;;;
Bádice;Bádice;Nitra;951 46;Podhorany pri Nitre;Podhorany pri Nitre;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Badín;Badín;Banská Bystrica;;;Pozri zoz.ulíc s PSÈ;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Báhoò;Báhoò;Pezinok;900 84;Báhoò;Báhoò;107;BL;;;;;;;;;;;;;;;;;;;;;;;
Bajany;Bajany;Michalovce;072 54;Lekárovce;Lekárovce;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Bajè;Bajè;Komárno;946 54;Bajè;Bajè;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Bajerov;Bajerov;Prešov;082 41;Bajerov;Bajerov;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Bajerovce;Bajerovce;Sabinov;082 73;Šarišské Dravce;Šarišské Dravce;708;PV;;;;;;;;;;;;;;;;;;;;;;;
